episode_id,t,obs_grip,act_grip,single_frame_delta,chunk32_delta_at_t
43,3,0.000864,-0.002377,-0.003241,-0.000026
43,4,0.000864,-0.002377,-0.003241,-0.000026
43,5,0.000864,-0.002377,-0.003241,-0.000026
43,6,0.000864,-0.002377,-0.003241,-0.000026
43,7,0.000864,-0.002377,-0.003241,-0.000026
43,8,0.000864,-0.002377,-0.003241,-0.000026
43,9,0.000864,-0.002377,-0.003241,0.000000
43,10,0.000864,-0.002377,-0.003241,0.000000
43,11,0.000864,-0.002377,-0.003241,0.000000
43,12,0.000864,-0.002377,-0.003241,0.000000
43,13,0.000864,-0.002377,-0.003241,0.000000
43,14,0.000864,-0.002377,-0.003241,0.000000
43,15,0.000864,-0.002377,-0.003241,-0.000026
43,16,0.000864,-0.002377,-0.003241,-0.000026
43,17,0.000864,-0.002377,-0.003241,0.000000
43,18,0.000864,-0.002377,-0.003241,-0.000026
43,19,0.000864,-0.002377,-0.003241,0.000000
43,20,0.000864,-0.002377,-0.003241,0.000000
43,21,0.000864,-0.002377,-0.003241,0.000000
43,22,0.000864,-0.002377,-0.003241,0.000000
43,23,0.000864,-0.002377,-0.003241,0.000000
43,24,0.000864,-0.002377,-0.003241,0.000000
43,25,0.000864,-0.002377,-0.003241,0.000000
43,26,0.000864,-0.002402,-0.003267,0.000026
43,27,0.000864,-0.002402,-0.003267,0.000051
43,28,0.000864,-0.002402,-0.003267,0.000180
43,29,0.000864,-0.002402,-0.003267,0.001901
43,30,0.000864,-0.002402,-0.003267,0.003983
43,31,0.000864,-0.002402,-0.003267,0.012205
43,32,0.000864,-0.002402,-0.003267,0.030602
43,33,0.000864,-0.002402,-0.003267,0.054164
43,34,0.000864,-0.002402,-0.003267,0.073512
43,35,0.000864,-0.002402,-0.003267,0.082505
43,36,0.000864,-0.002402,-0.003267,0.081272
43,37,0.000864,-0.002402,-0.003267,0.081118
43,38,0.000864,-0.002402,-0.003267,0.081118
43,39,0.000864,-0.002402,-0.003267,0.081118
43,40,0.000864,-0.002377,-0.003241,0.081092
43,41,0.000864,-0.002377,-0.003241,0.081092
43,42,0.000864,-0.002377,-0.003241,0.081092
43,43,0.000864,-0.002377,-0.003241,0.081092
43,44,0.000864,-0.002377,-0.003241,0.081092
43,45,0.000864,-0.002377,-0.003241,0.081092
43,46,0.000864,-0.002402,-0.003267,0.081118
43,47,0.000864,-0.002402,-0.003267,0.081092
43,48,0.000864,-0.002377,-0.003241,0.081067
43,49,0.000864,-0.002402,-0.003267,0.081092
43,50,0.000864,-0.002377,-0.003241,0.080810
43,51,0.000864,-0.002377,-0.003241,0.080655
43,52,0.000864,-0.002377,-0.003241,0.080655
43,53,0.000864,-0.002377,-0.003241,0.080630
43,54,0.000864,-0.002377,-0.003241,0.080630
43,55,0.000864,-0.002377,-0.003241,0.080604
43,56,0.000864,-0.002377,-0.003241,0.080604
43,57,0.000864,-0.002377,-0.003241,0.080604
43,58,0.000864,-0.002351,-0.003215,0.080578
43,59,0.000864,-0.002223,-0.003087,0.080373
43,60,0.000864,-0.000501,-0.001365,0.077880
43,61,0.000864,0.001580,0.000716,0.072022
43,62,0.000864,0.009802,0.008938,0.054370
43,63,0.000864,0.028200,0.027336,0.026722
43,64,0.000951,0.051762,0.050811,-0.013207
43,65,0.002820,0.071110,0.068290,-0.045865
43,66,0.007111,0.080103,0.072992,-0.062849
43,67,0.010882,0.078870,0.067988,-0.063106
