episode_id,t,obs_grip,act_grip,single_frame_delta,chunk_delta_at_k5
45,151,0.025591,0.019772,-0.005819,-0.005819
45,152,0.025591,0.019772,-0.005819,-0.005819
45,153,0.025591,0.019772,-0.005819,-0.005819
45,154,0.025591,0.019772,-0.005819,-0.005793
45,155,0.025591,0.019772,-0.005819,-0.005793
45,156,0.025591,0.019772,-0.005819,-0.005793
45,157,0.025591,0.019772,-0.005819,-0.005793
45,158,0.025591,0.019772,-0.005819,-0.005768
45,159,0.025591,0.019798,-0.005793,-0.005562
45,160,0.025591,0.019798,-0.005793,-0.004868
45,161,0.025591,0.019798,-0.005793,0.000939
45,162,0.025591,0.019798,-0.005793,0.017640
45,163,0.025591,0.019823,-0.005768,0.037913
45,164,0.025591,0.020029,-0.005562,0.050709
45,165,0.025591,0.020723,-0.004868,0.053741
45,166,0.025591,0.026530,0.000939,0.053458
45,167,0.025591,0.043231,0.017640,0.053458
45,168,0.025598,0.063504,0.037906,0.053452
45,169,0.026065,0.076300,0.050235,0.052984
45,170,0.028494,0.079332,0.050838,0.050555
45,171,0.032772,0.079049,0.046277,0.046277
45,172,0.038592,0.079049,0.040458,0.040458
45,173,0.043084,0.079049,0.035966,0.035940
45,174,0.050445,0.079049,0.028605,0.028553
45,175,0.058347,0.079049,0.020703,0.020163
45,176,0.064881,0.079049,0.014169,0.012216
45,177,0.069285,0.079049,0.009764,0.006064
45,178,0.071421,0.079024,0.007603,-0.001185
45,179,0.073724,0.078998,0.005275,-0.013765
45,180,0.075292,0.078510,0.003218,-0.032652
45,181,0.076313,0.077097,0.000784,-0.056078
45,182,0.077007,0.075349,-0.001658,-0.070057
45,183,0.077127,0.070236,-0.006891,-0.079632
45,184,0.077101,0.059958,-0.017142,-0.078604
45,185,0.076774,0.042640,-0.034133,-0.078868
45,186,0.075025,0.020235,-0.054790,-0.077119
45,187,0.071227,0.006950,-0.064277,-0.073322
45,188,0.067697,-0.002505,-0.070202,-0.069791
45,189,0.061337,-0.001503,-0.062840,-0.063431
45,190,0.054082,-0.002094,-0.056176,-0.056176
45,191,0.046287,-0.002094,-0.048381,-0.048381
45,192,0.038065,-0.002094,-0.040159,-0.040159
45,193,0.032452,-0.002094,-0.034546,-0.034546
45,194,0.023843,-0.002094,-0.025937,-0.025937
45,195,0.016074,-0.002094,-0.018168,-0.018168
45,196,0.010902,-0.002094,-0.012996,-0.012996
45,197,0.007465,-0.002094,-0.009559,-0.009559
45,198,0.005830,-0.002094,-0.007924,-0.007924
45,199,0.004068,-0.002094,-0.006162,-0.006162
45,200,0.002933,-0.002094,-0.005027,-0.005027
45,201,0.002159,-0.002094,-0.004253,-0.004253
45,202,0.001699,-0.002094,-0.003793,-0.003793
45,203,0.001452,-0.002094,-0.003546,-0.003546
45,204,0.001318,-0.002094,-0.003412,-0.003412
45,205,0.001318,-0.002094,-0.003412,-0.003412
45,206,0.001311,-0.002094,-0.003406,-0.003406
45,207,0.001311,-0.002094,-0.003406,-0.003406
45,208,0.001311,-0.002094,-0.003406,-0.003406
45,209,0.001311,-0.002094,-0.003406,-0.003406
45,210,0.001311,-0.002094,-0.003406,-0.003406
45,211,0.001311,-0.002094,-0.003406,-0.003406
45,212,0.001311,-0.002094,-0.003406,-0.003406
45,213,0.001311,-0.002094,-0.003406,-0.003406
45,214,0.001311,-0.002094,-0.003406,-0.003406
45,215,0.001311,-0.002094,-0.003406,-0.003406
