episode_id,t,obs_grip,act_grip,single_frame_delta,chunk32_delta_at_t
24,144,0.021053,0.010753,-0.010300,0.060408
24,145,0.021053,0.010753,-0.010300,0.070609
24,146,0.021053,0.010753,-0.010300,0.064442
24,147,0.021053,0.010779,-0.010274,0.061873
24,148,0.021053,0.010753,-0.010300,0.061641
24,149,0.021053,0.010753,-0.010300,0.061641
24,150,0.021053,0.010753,-0.010300,0.061641
24,151,0.021053,0.010779,-0.010274,0.061616
24,152,0.021046,0.010779,-0.010267,0.061333
24,153,0.021046,0.010779,-0.010267,0.057659
24,154,0.021046,0.010779,-0.010267,0.050027
24,155,0.021046,0.010779,-0.010267,0.038876
24,156,0.021046,0.010779,-0.010267,0.028444
24,157,0.021046,0.010779,-0.010267,0.009867
24,158,0.021046,0.010805,-0.010242,-0.006038
24,159,0.021040,0.010805,-0.010235,-0.013798
24,160,0.021040,0.010805,-0.010235,-0.012822
24,161,0.021040,0.010805,-0.010235,-0.012822
24,162,0.021040,0.010805,-0.010235,-0.012847
24,163,0.021040,0.010805,-0.010235,-0.012822
24,164,0.021040,0.010830,-0.010209,-0.012847
24,165,0.021040,0.010984,-0.010055,-0.013001
24,166,0.021040,0.010959,-0.010081,-0.012976
24,167,0.021040,0.010984,-0.010055,-0.013001
24,168,0.021040,0.010959,-0.010081,-0.012976
24,169,0.021040,0.010959,-0.010081,-0.012976
24,170,0.021040,0.010959,-0.010081,-0.012976
24,171,0.021040,0.010959,-0.010081,-0.012976
24,172,0.021040,0.011627,-0.009413,-0.013644
24,173,0.021040,0.021930,0.000891,-0.023947
24,174,0.021040,0.045441,0.024401,-0.047458
24,175,0.021100,0.071161,0.050062,-0.073178
24,176,0.021981,0.081362,0.059381,-0.083379
24,177,0.023776,0.075195,0.051419,-0.077212
24,178,0.027507,0.072652,0.045145,-0.074669
24,179,0.032832,0.072395,0.039562,-0.074412
24,180,0.039359,0.072395,0.033035,-0.074412
24,181,0.046721,0.072395,0.025674,-0.074412
24,182,0.051933,0.072395,0.020461,-0.074412
24,183,0.058540,0.072112,0.013572,-0.074129
24,184,0.062912,0.068438,0.005526,-0.070455
24,185,0.065828,0.060806,-0.005022,-0.062823
24,186,0.067523,0.049655,-0.017869,-0.051672
24,187,0.067757,0.039223,-0.028534,-0.041240
24,188,0.066903,0.020646,-0.046257,-0.022663
24,189,0.063459,0.004766,-0.058693,-0.006783
24,190,0.058173,-0.002993,-0.061167,nan
24,191,0.051673,-0.002017,-0.053690,nan
24,192,0.044345,-0.002017,-0.046362,nan
24,193,0.039133,-0.002043,-0.041175,nan
24,194,0.030977,-0.002017,-0.032994,nan
24,195,0.022514,-0.002017,-0.024531,nan
24,196,0.015193,-0.002017,-0.017210,nan
24,197,0.010328,-0.002017,-0.012345,nan
24,198,0.008025,-0.002017,-0.010042,nan
24,199,0.005543,-0.002017,-0.007560,nan
24,200,0.003888,-0.002017,-0.005905,nan
24,201,0.002820,-0.002017,-0.004837,nan
24,202,0.002126,-0.002017,-0.004143,nan
24,203,0.001752,-0.002017,-0.003769,nan
24,204,0.001425,-0.002017,-0.003442,nan
24,205,0.001318,-0.002017,-0.003335,nan
24,206,0.001318,-0.002017,-0.003335,nan
24,207,0.001318,-0.002017,-0.003335,nan
24,208,0.001311,-0.002017,-0.003328,nan
