episode_id,t,obs_grip,act_grip,single_frame_delta,chunk_delta_at_k7
112,184,0.033440,0.026376,-0.007064,-0.006345
112,185,0.033440,0.026376,-0.007064,-0.006345
112,186,0.033440,0.026401,-0.007039,-0.006345
112,187,0.033440,0.026401,-0.007039,-0.006345
112,188,0.033440,0.026530,-0.006910,-0.006293
112,189,0.033446,0.027069,-0.006377,-0.005863
112,190,0.033446,0.027095,-0.006351,-0.002189
112,191,0.033440,0.027095,-0.006345,0.006708
112,192,0.033446,0.027095,-0.006351,0.016080
112,193,0.033446,0.027095,-0.006351,0.032807
112,194,0.033446,0.027095,-0.006351,0.044010
112,195,0.033446,0.027146,-0.006300,0.045809
112,196,0.033446,0.027583,-0.005863,0.045783
112,197,0.033446,0.031257,-0.002189,0.045757
112,198,0.033446,0.040148,0.006701,0.045783
112,199,0.033453,0.049526,0.016073,0.045776
112,200,0.033793,0.066254,0.032460,0.045436
112,201,0.035482,0.077456,0.041974,0.043722
112,202,0.037604,0.079255,0.041651,0.041599
112,203,0.042376,0.079229,0.036853,0.036828
112,204,0.048536,0.079204,0.030668,0.030668
112,205,0.055644,0.079229,0.023585,0.023560
112,206,0.062505,0.079229,0.016725,0.016699
112,207,0.066022,0.079229,0.013208,0.012565
112,208,0.070006,0.079204,0.009198,0.006679
112,209,0.072769,0.079204,0.006435,-0.002404
112,210,0.074671,0.079204,0.004532,-0.015561
112,211,0.075953,0.079204,0.003251,-0.033569
112,212,0.076593,0.079204,0.002610,-0.055459
112,213,0.077214,0.079204,0.001990,-0.070546
112,214,0.077634,0.078587,0.000953,-0.079009
112,215,0.077975,0.076686,-0.001289,-0.080300
112,216,0.078022,0.070365,-0.007657,-0.080424
112,217,0.078015,0.059110,-0.018904,-0.080417
112,218,0.077808,0.042383,-0.035425,-0.080210
112,219,0.076033,0.021134,-0.054899,-0.078435
112,220,0.071988,0.006668,-0.065321,-0.074391
112,221,0.066282,-0.001375,-0.067657,-0.068659
112,222,0.061851,-0.002325,-0.064176,-0.064227
112,223,0.054543,-0.002402,-0.056945,-0.056919
112,224,0.046681,-0.002402,-0.049083,-0.049083
112,225,0.038372,-0.002402,-0.040774,-0.040749
112,226,0.029862,-0.002402,-0.032265,-0.032239
112,227,0.024103,-0.002402,-0.026505,-0.026505
112,228,0.016301,-0.002377,-0.018678,-0.018678
112,229,0.011075,-0.002377,-0.013452,-0.013452
112,230,0.007585,-0.002377,-0.009962,-0.009962
112,231,0.005249,-0.002402,-0.007652,-0.007626
112,232,0.004135,-0.002377,-0.006511,-0.006511
112,233,0.002973,-0.002377,-0.005350,-0.005350
112,234,0.002179,-0.002402,-0.004582,-0.004556
112,235,0.001705,-0.002377,-0.004082,-0.004082
112,236,0.001338,-0.002377,-0.003715,-0.003715
112,237,0.001318,-0.002377,-0.003695,-0.003695
112,238,0.001311,-0.002377,-0.003688,-0.003688
112,239,0.001311,-0.002377,-0.003688,-0.003688
112,240,0.001311,-0.002377,-0.003688,-0.003688
112,241,0.001311,-0.002377,-0.003688,nan
112,242,0.001311,-0.002377,-0.003688,nan
112,243,0.001311,-0.002377,-0.003688,nan
112,244,0.001311,-0.002377,-0.003688,nan
112,245,0.001311,-0.002377,-0.003688,nan
112,246,0.001311,-0.002377,-0.003688,nan
112,247,0.001311,-0.002377,-0.003688,nan
