k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,+0.205997,+1.4854,+0.205997,+0.000000,0.000000,0
1,1,+0.269322,+1.4961,+0.269322,+0.000000,0.000000,0
2,2,+0.340277,+1.5399,+0.331979,+0.008298,0.008298,1
3,3,+0.387197,+1.4737,+0.387197,+0.000000,0.000000,0
4,4,+0.460823,+1.5206,+0.454968,+0.005855,0.005855,1
5,5,+0.534448,+1.5583,+0.515660,+0.018788,0.018788,1
6,6,+0.606928,+1.5862,+0.575896,+0.031032,0.031032,1
7,7,+0.677882,+1.6144,+0.632487,+0.045396,0.045396,1
8,8,+0.723278,+1.5777,+0.689681,+0.033597,0.033597,1
9,9,+0.787366,+1.5894,+0.745557,+0.041809,0.041809,1
10,10,+0.848402,+1.5929,+0.801634,+0.046768,0.046768,1
11,11,+0.909057,+1.5949,+0.857901,+0.051156,0.051156,1
12,12,+0.966278,+1.5963,+0.911117,+0.055161,0.055161,1
13,13,+1.017396,+1.5860,+0.965229,+0.052167,0.052167,1
14,14,+1.048676,+1.5472,+1.018418,+0.030259,0.030259,1
15,15,+1.090639,+1.5359,+1.066532,+0.024107,0.024107,1
16,16,+1.131456,+1.5186,+1.118386,+0.013071,0.013071,1
17,17,+1.166934,+1.5020,+1.165430,+0.001504,0.001504,1
18,18,+1.203555,+1.4876,+1.203555,+0.000000,0.000000,0
19,19,+1.223392,+1.4525,+1.223392,+0.000000,0.000000,0
20,20,+1.255817,+1.4408,+1.255817,+0.000000,0.000000,0
21,21,+1.279851,+1.4210,+1.279851,+0.000000,0.000000,0
22,22,+1.304265,+1.4033,+1.304265,+0.000000,0.000000,0
23,23,+1.327916,+1.3896,+1.327916,+0.000000,0.000000,0
24,24,+1.344320,+1.3657,+1.344320,+0.000000,0.000000,0
25,25,+1.365683,+1.3508,+1.365683,+0.000000,0.000000,0
26,26,+1.388571,+1.3385,+1.388571,+0.000000,0.000000,0
27,27,+1.409171,+1.3266,+1.409171,+0.000000,0.000000,0
28,28,+1.427482,+1.3141,+1.427482,+0.000000,0.000000,0
29,29,+1.437400,+1.2930,+1.437400,+0.000000,0.000000,0
30,30,+1.451133,+1.2756,+1.451133,+0.000000,0.000000,0
31,31,+1.460670,+1.2600,+1.460670,+0.000000,0.000000,0
