k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,-0.021912,-0.8675,-0.021912,+0.000000,0.000000,0
1,1,-0.029877,-0.9187,-0.029877,-0.000000,0.000000,0
2,2,-0.037059,-0.9369,-0.037059,+0.000000,0.000000,0
3,3,-0.045614,-0.9758,-0.045614,+0.000000,0.000000,0
4,4,-0.054469,-1.0145,-0.054469,+0.000000,0.000000,0
5,5,-0.063630,-1.0525,-0.063630,+0.000000,0.000000,0
6,6,-0.069358,-1.0460,-0.069358,+0.000000,0.000000,0
7,7,-0.078207,-1.0731,-0.078207,+0.000000,0.000000,0
8,8,-0.085540,-1.0888,-0.085540,+0.000000,0.000000,0
9,9,-0.092489,-1.0996,-0.092489,+0.000000,0.000000,0
10,10,-0.101311,-1.1307,-0.101311,+0.000000,0.000000,0
11,11,-0.107785,-1.1375,-0.107785,+0.000000,0.000000,0
12,12,-0.118972,-1.1858,-0.118972,-0.000000,0.000000,0
13,13,-0.130604,-1.2332,-0.130604,+0.000000,0.000000,0
14,14,-0.140788,-1.2661,-0.140788,+0.000000,0.000000,0
15,15,-0.149028,-1.2847,-0.149028,+0.000000,0.000000,0
16,16,-0.153914,-1.2813,-0.153914,+0.000000,0.000000,0
17,17,-0.160323,-1.2888,-0.160323,+0.000000,0.000000,0
18,18,-0.170489,-1.3196,-0.170489,-0.000000,0.000000,0
19,19,-0.173272,-1.3069,-0.173272,+0.000000,0.000000,0
20,20,-0.172792,-1.2731,-0.172792,+0.000000,0.000000,0
21,21,-0.175813,-1.2630,-0.175813,+0.000000,0.000000,0
22,22,-0.182321,-1.2755,-0.182321,+0.000000,0.000000,0
23,23,-0.194884,-1.3176,-0.194884,+0.000000,0.000000,0
24,24,-0.210236,-1.3747,-0.210236,+0.000000,0.000000,0
25,25,-0.224301,-1.4236,-0.224301,+0.000000,0.000000,0
26,26,-0.239037,-1.4721,-0.239037,+0.000000,0.000000,0
27,27,-0.248473,-1.4947,-0.248473,+0.000000,0.000000,0
28,28,-0.261000,-1.5327,-0.254485,-0.006516,0.006516,1
29,29,-0.272170,-1.5637,-0.259310,-0.012860,0.012860,1
30,30,-0.278274,-1.5696,-0.264065,-0.014210,0.014210,1
31,31,-0.276802,-1.5399,-0.268568,-0.008234,0.008234,1
