k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,-0.197223,-1.6053,-0.183490,-0.013733,0.013733,1
1,1,-0.267797,-1.6787,-0.237565,-0.030232,0.030232,1
2,2,-0.334173,-1.7071,-0.291161,-0.043012,0.043012,1
3,3,-0.396735,-1.7074,-0.345616,-0.051119,0.051119,1
4,4,-0.450522,-1.6824,-0.398615,-0.051907,0.051907,1
5,5,-0.482948,-1.5961,-0.451954,-0.030995,0.030995,1
6,6,-0.528344,-1.5668,-0.504284,-0.024060,0.024060,1
7,7,-0.564965,-1.5183,-0.557718,-0.007248,0.007248,1
8,8,-0.596247,-1.4730,-0.596247,+0.000000,0.000000,0
9,9,-0.621042,-1.4235,-0.621042,+0.000000,0.000000,0
10,10,-0.637827,-1.3600,-0.637827,+0.000000,0.000000,0
11,11,-0.666820,-1.3299,-0.666820,+0.000000,0.000000,0
12,12,-0.693522,-1.3017,-0.693522,+0.000000,0.000000,0
13,13,-0.717937,-1.2741,-0.717937,+0.000000,0.000000,0
14,14,-0.741970,-1.2479,-0.741970,+0.000000,0.000000,0
15,15,-0.754559,-1.2113,-0.754559,+0.000000,0.000000,0
16,16,-0.773252,-1.1854,-0.773252,+0.000000,0.000000,0
17,17,-0.792325,-1.1657,-0.792325,-0.000000,0.000000,0
18,18,-0.809873,-1.1458,-0.809873,+0.000000,0.000000,0
19,19,-0.830091,-1.1275,-0.830091,+0.000000,0.000000,0
20,20,-0.852217,-1.1145,-0.852217,+0.000000,0.000000,0
21,21,-0.866713,-1.0939,-0.866713,+0.000000,0.000000,0
22,22,-0.891127,-1.0898,-0.891127,+0.000000,0.000000,0
23,23,-0.915542,-1.0838,-0.915542,+0.000000,0.000000,0
24,24,-0.940719,-1.0813,-0.940719,+0.000000,0.000000,0
25,25,-0.967422,-1.0791,-0.967422,+0.000000,0.000000,0
26,26,-0.984970,-1.0698,-0.984970,-0.000000,0.000000,0
27,27,-1.012817,-1.0706,-1.012817,+0.000000,0.000000,0
28,28,-1.045625,-1.0787,-1.045625,+0.000000,0.000000,0
29,29,-1.081865,-1.0863,-1.081865,+0.000000,0.000000,0
30,30,-1.119249,-1.0962,-1.119249,+0.000000,0.000000,0
31,31,-1.143664,-1.0938,-1.143664,+0.000000,0.000000,0
