k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,-1,+0.044074,+1.5173,+0.043637,+0.000437,0.000437,1
1,0,+0.065988,+1.6482,+0.060806,+0.005182,0.005182,1
2,1,+0.087727,+1.7250,+0.077712,+0.010015,0.010015,1
3,2,+0.107699,+1.7468,+0.094381,+0.013318,0.013318,1
4,3,+0.120183,+1.6450,+0.110999,+0.009184,0.009184,1
5,4,+0.136728,+1.6374,+0.126818,+0.009910,0.009910,1
6,5,+0.151205,+1.6103,+0.142300,+0.008904,0.008904,1
7,6,+0.163052,+1.5676,+0.157037,+0.006016,0.006016,1
8,7,+0.172310,+1.5131,+0.171045,+0.001265,0.001265,1
9,8,+0.178397,+1.4377,+0.178397,+0.000000,0.000000,0
10,9,+0.181270,+1.3471,+0.181270,-0.000000,0.000000,0
11,10,+0.183359,+1.2679,+0.183359,+0.000000,0.000000,0
12,11,+0.182548,+1.1779,+0.182548,+0.000000,0.000000,0
13,12,+0.180660,+1.0929,+0.180660,+0.000000,0.000000,0
14,13,+0.178234,+1.0146,+0.178234,+0.000000,0.000000,0
15,14,+0.176630,+0.9523,+0.176630,+0.000000,0.000000,0
16,15,+0.175188,+0.8964,+0.175188,+0.000000,0.000000,0
17,16,+0.173605,+0.8471,+0.173605,+0.000000,0.000000,0
18,17,+0.172386,+0.8049,+0.172386,+0.000000,0.000000,0
19,18,+0.169128,+0.7567,+0.169128,+0.000000,0.000000,0
20,19,+0.166029,+0.7120,+0.166029,+0.000000,0.000000,0
21,20,+0.159076,+0.6511,+0.159076,+0.000000,0.000000,0
22,21,+0.150876,+0.5874,+0.150876,-0.000000,0.000000,0
23,22,+0.141475,+0.5222,+0.141475,+0.000000,0.000000,0
24,23,+0.132485,+0.4625,+0.132485,+0.000000,0.000000,0
25,24,+0.123121,+0.4056,+0.123121,-0.000000,0.000000,0
26,25,+0.117597,+0.3714,+0.117597,+0.000000,0.000000,0
27,26,+0.109177,+0.3267,+0.109177,-0.000000,0.000000,0
28,27,+0.100857,+0.2849,+0.100857,+0.000000,0.000000,0
29,28,+0.093984,+0.2505,+0.093984,+0.000000,0.000000,0
30,29,+0.089272,+0.2292,+0.089272,-0.000000,0.000000,0
31,30,+0.087718,+0.2237,+0.087718,-0.000000,0.000000,0
