k,offset,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,0,+0.062091,+1.5371,+0.060796,+0.001295,0.001295,1
1,1,+0.083263,+1.6251,+0.077699,+0.005565,0.005565,1
2,2,+0.105134,+1.6998,+0.094360,+0.010775,0.010775,1
3,3,+0.120217,+1.6463,+0.110963,+0.009255,0.009255,1
4,4,+0.140432,+1.6893,+0.126783,+0.013649,0.013649,1
5,5,+0.157927,+1.6943,+0.142252,+0.015675,0.015675,1
6,6,+0.172752,+1.6773,+0.156993,+0.015759,0.015759,1
7,7,+0.183931,+1.6333,+0.171020,+0.012910,0.012910,1
8,8,+0.188914,+1.5387,+0.184871,+0.004042,0.004042,1
9,9,+0.194476,+1.4655,+0.194476,+0.000000,0.000000,0
10,10,+0.198105,+1.3926,+0.198105,+0.000000,0.000000,0
11,11,+0.199290,+1.3116,+0.199290,+0.000000,0.000000,0
12,12,+0.198548,+1.2290,+0.198548,+0.000000,0.000000,0
13,13,+0.197453,+1.1545,+0.197453,+0.000000,0.000000,0
14,14,+0.196014,+1.0877,+0.196014,+0.000000,0.000000,0
15,15,+0.193824,+1.0216,+0.193824,-0.000000,0.000000,0
16,16,+0.191498,+0.9632,+0.191498,+0.000000,0.000000,0
17,17,+0.190701,+0.9198,+0.190701,+0.000000,0.000000,0
18,18,+0.191062,+0.8901,+0.191062,+0.000000,0.000000,0
19,19,+0.191245,+0.8613,+0.191245,+0.000000,0.000000,0
20,20,+0.191163,+0.8362,+0.191163,-0.000000,0.000000,0
21,21,+0.190338,+0.8099,+0.190338,+0.000000,0.000000,0
22,22,+0.188482,+0.7820,+0.188482,-0.000000,0.000000,0
23,23,+0.185603,+0.7502,+0.185603,+0.000000,0.000000,0
24,24,+0.183365,+0.7258,+0.183365,+0.000000,0.000000,0
25,25,+0.179990,+0.6974,+0.179990,+0.000000,0.000000,0
26,26,+0.174746,+0.6639,+0.174746,+0.000000,0.000000,0
27,27,+0.168367,+0.6276,+0.168367,-0.000000,0.000000,0
28,28,+0.161514,+0.5881,+0.161514,+0.000000,0.000000,0
29,29,+0.155873,+0.5580,+0.155873,+0.000000,0.000000,0
30,30,+0.153015,+0.5422,+0.153015,+0.000000,0.000000,0
31,31,+0.150705,+0.5306,+0.150705,+0.000000,0.000000,0
