k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.014299,+0.2101,+0.014299,-0.000000,0.000000,0
1,+0.018935,+0.3401,+0.018935,-0.000000,0.000000,0
2,+0.024327,+0.4915,+0.024327,-0.000000,0.000000,0
3,+0.029900,+0.6479,+0.029900,+0.000000,0.000000,0
4,+0.037284,+0.8551,+0.037284,+0.000000,0.000000,0
5,+0.045080,+1.0738,+0.045080,+0.000000,0.000000,0
6,+0.050615,+1.2291,+0.050615,+0.000000,0.000000,0
7,+0.059248,+1.4714,+0.059248,+0.000000,0.000000,0
8,+0.069190,+1.7504,+0.060268,+0.008923,0.008923,1
9,+0.078892,+2.0226,+0.060268,+0.018624,0.018624,1
10,+0.089102,+2.3091,+0.060268,+0.028834,0.028834,1
11,+0.096240,+2.5094,+0.060268,+0.035972,0.035972,1
12,+0.107695,+2.8309,+0.060268,+0.047427,0.047427,1
13,+0.119858,+3.1722,+0.060268,+0.059590,0.059590,1
14,+0.132061,+3.5146,+0.060268,+0.071793,0.071793,1
15,+0.146259,+3.9130,+0.060268,+0.085991,0.085991,1
16,+0.156335,+4.1958,+0.060268,+0.096067,0.096067,1
17,+0.172919,+4.6611,+0.060268,+0.112652,0.112652,1
18,+0.190827,+5.1636,+0.060268,+0.130559,0.130559,1
19,+0.208137,+5.6494,+0.060268,+0.147870,0.147870,1
20,+0.225218,+6.1287,+0.060268,+0.164950,0.164950,1
21,+0.241235,+6.5782,+0.060268,+0.180967,0.180967,1
22,+0.251707,+6.8720,+0.060268,+0.191439,0.191439,1
23,+0.267452,+7.3139,+0.060268,+0.207185,0.207185,1
24,+0.283414,+7.7618,+0.060268,+0.223146,0.223146,1
25,+0.299539,+8.2143,+0.060268,+0.239272,0.239272,1
26,+0.315522,+8.6628,+0.060268,+0.255255,0.255255,1
27,+0.326018,+8.9573,+0.060268,+0.265750,0.265750,1
28,+0.339943,+9.3480,+0.060268,+0.279675,0.279675,1
29,+0.350295,+9.6385,+0.060268,+0.290027,0.290027,1
30,+0.356790,+9.8208,+0.060268,+0.296522,0.296522,1
31,+0.358637,+9.8726,+0.060268,+0.298369,0.298369,1
