k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.130846,+0.9474,+0.130846,+0.000000,0.000000,0
1,+0.186160,+1.3713,+0.186160,+0.000000,0.000000,0
2,+0.246051,+1.8304,+0.202945,+0.043106,0.043106,1
3,+0.308613,+2.3099,+0.202945,+0.105668,0.105668,1
4,+0.350957,+2.6345,+0.202945,+0.148012,0.148012,1
5,+0.416189,+3.1345,+0.202945,+0.213244,0.213244,1
6,+0.480659,+3.6287,+0.202945,+0.277714,0.277714,1
7,+0.541695,+4.0965,+0.202945,+0.338750,0.338750,1
8,+0.609597,+4.6170,+0.202945,+0.406652,0.406652,1
9,+0.655375,+4.9678,+0.202945,+0.452430,0.452430,1
10,+0.719844,+5.4620,+0.202945,+0.516899,0.516899,1
11,+0.785839,+5.9678,+0.202945,+0.582894,0.582894,1
12,+0.848783,+6.4503,+0.202945,+0.645838,0.645838,1
13,+0.907530,+6.9006,+0.202945,+0.704585,0.704585,1
14,+0.944152,+7.1813,+0.202945,+0.741207,0.741207,1
15,+0.996795,+7.5848,+0.202945,+0.793850,0.793850,1
16,+1.048294,+7.9795,+0.202945,+0.845349,0.845349,1
17,+1.100175,+8.3772,+0.202945,+0.897230,0.897230,1
18,+1.153582,+8.7866,+0.202945,+0.950637,0.950637,1
19,+1.204700,+9.1784,+0.202945,+1.001755,1.001755,1
20,+1.238650,+9.4386,+0.202945,+1.035706,1.035706,1
21,+1.290913,+9.8392,+0.202945,+1.087968,1.087968,1
22,+1.339742,+10.2135,+0.202945,+1.136797,1.136797,1
23,+1.386663,+10.5731,+0.202945,+1.183719,1.183719,1
24,+1.431295,+10.9152,+0.202945,+1.228351,1.228351,1
25,+1.458381,+11.1228,+0.202945,+1.255436,1.255436,1
26,+1.499962,+11.4415,+0.202945,+1.297017,1.297017,1
27,+1.538109,+11.7339,+0.202945,+1.335164,1.335164,1
28,+1.577020,+12.0322,+0.202945,+1.374075,1.374075,1
29,+1.605248,+12.2485,+0.202945,+1.402304,1.402304,1
30,+1.629663,+12.4357,+0.202945,+1.426719,1.426719,1
31,+1.642252,+12.5322,+0.202945,+1.439307,1.439307,1
