k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.012186,+0.1508,+0.012186,+0.000000,0.000000,0
1,+0.015706,+0.2495,+0.015706,+0.000000,0.000000,0
2,+0.020341,+0.3796,+0.020341,+0.000000,0.000000,0
3,+0.025734,+0.5309,+0.025734,+0.000000,0.000000,0
4,+0.031307,+0.6873,+0.031307,+0.000000,0.000000,0
5,+0.038691,+0.8945,+0.038691,+0.000000,0.000000,0
6,+0.046487,+1.1133,+0.046487,+0.000000,0.000000,0
7,+0.052022,+1.2686,+0.052022,+0.000000,0.000000,0
8,+0.060654,+1.5108,+0.060268,+0.000386,0.000386,1
9,+0.070597,+1.7898,+0.060268,+0.010329,0.010329,1
10,+0.080298,+2.0621,+0.060268,+0.020030,0.020030,1
11,+0.090509,+2.3486,+0.060268,+0.030241,0.030241,1
12,+0.097647,+2.5489,+0.060268,+0.037379,0.037379,1
13,+0.109101,+2.8703,+0.060268,+0.048833,0.048833,1
14,+0.121264,+3.2116,+0.060268,+0.060997,0.060997,1
15,+0.133467,+3.5541,+0.060268,+0.073200,0.073200,1
16,+0.147666,+3.9525,+0.060268,+0.087398,0.087398,1
17,+0.157741,+4.2352,+0.060268,+0.097473,0.097473,1
18,+0.174326,+4.7006,+0.060268,+0.114058,0.114058,1
19,+0.192233,+5.2031,+0.060268,+0.131966,0.131966,1
20,+0.209544,+5.6889,+0.060268,+0.149276,0.149276,1
21,+0.226624,+6.1682,+0.060268,+0.166356,0.166356,1
22,+0.242641,+6.6176,+0.060268,+0.182374,0.182374,1
23,+0.253114,+6.9115,+0.060268,+0.192846,0.192846,1
24,+0.268859,+7.3533,+0.060268,+0.208591,0.208591,1
25,+0.284821,+7.8012,+0.060268,+0.224553,0.224553,1
26,+0.300946,+8.2537,+0.060268,+0.240678,0.240678,1
27,+0.316929,+8.7022,+0.060268,+0.256661,0.256661,1
28,+0.327424,+8.9967,+0.060268,+0.267157,0.267157,1
29,+0.341349,+9.3875,+0.060268,+0.281081,0.281081,1
30,+0.351702,+9.6780,+0.060268,+0.291434,0.291434,1
31,+0.358196,+9.8602,+0.060268,+0.297929,0.297929,1
