k,gt_raw,gt_norm_unclamped,gt_round_trip,gap_norm,abs_gap_norm,clamped
0,+0.064088,+0.4357,+0.064088,+0.000000,0.000000,0
1,+0.107958,+0.7719,+0.107958,+0.000000,0.000000,0
2,+0.158313,+1.1579,+0.158313,-0.000000,0.000000,0
3,+0.213627,+1.5819,+0.202945,+0.010682,0.010682,1
4,+0.273518,+2.0409,+0.202945,+0.070573,0.070573,1
5,+0.336080,+2.5205,+0.202945,+0.133135,0.133135,1
6,+0.378424,+2.8450,+0.202945,+0.175479,0.175479,1
7,+0.443656,+3.3450,+0.202945,+0.240711,0.240711,1
8,+0.508125,+3.8392,+0.202945,+0.305181,0.305181,1
9,+0.569161,+4.3070,+0.202945,+0.366217,0.366217,1
10,+0.637064,+4.8275,+0.202945,+0.434119,0.434119,1
11,+0.682841,+5.1784,+0.202945,+0.479897,0.479897,1
12,+0.747311,+5.6725,+0.202945,+0.544366,0.544366,1
13,+0.813306,+6.1784,+0.202945,+0.610361,0.610361,1
14,+0.876249,+6.6608,+0.202945,+0.673305,0.673305,1
15,+0.934997,+7.1111,+0.202945,+0.732052,0.732052,1
16,+0.971619,+7.3918,+0.202945,+0.768674,0.768674,1
17,+1.024261,+7.7953,+0.202945,+0.821317,0.821317,1
18,+1.075761,+8.1901,+0.202945,+0.872816,0.872816,1
19,+1.127642,+8.5877,+0.202945,+0.924697,0.924697,1
20,+1.181048,+8.9971,+0.202945,+0.978104,0.978104,1
21,+1.232166,+9.3889,+0.202945,+1.029222,1.029222,1
22,+1.266117,+9.6491,+0.202945,+1.063172,1.063172,1
23,+1.318379,+10.0497,+0.202945,+1.115435,1.115435,1
24,+1.367208,+10.4240,+0.202945,+1.164264,1.164264,1
25,+1.414130,+10.7836,+0.202945,+1.211185,1.211185,1
26,+1.458762,+11.1257,+0.202945,+1.255817,1.255817,1
27,+1.485847,+11.3333,+0.202945,+1.282903,1.282903,1
28,+1.527429,+11.6521,+0.202945,+1.324484,1.324484,1
29,+1.565576,+11.9445,+0.202945,+1.362631,1.362631,1
30,+1.604486,+12.2427,+0.202945,+1.401542,1.401542,1
31,+1.632715,+12.4591,+0.202945,+1.429770,1.429770,1
