k,gt_raw,gt_norm_unclamped,gt_norm_clamped,gt_round_trip,pred_norm,pred_unnorm,gap_norm,gap_model,total_gap
0,+0.102999,+0.7339,+0.7339,+0.102999,+0.2914,+0.045260,+0.000000,+0.057738,+0.057738
1,+0.153354,+1.1199,+1.1199,+0.153354,+0.5140,+0.074313,+0.000000,+0.079041,+0.079041
2,+0.208668,+1.5439,+1.5000,+0.202945,+0.9109,+0.126085,+0.005723,+0.076860,+0.082583
3,+0.268559,+2.0029,+1.5000,+0.202945,+1.2149,+0.165749,+0.065614,+0.037196,+0.102810
4,+0.331120,+2.4825,+1.5000,+0.202945,+1.4308,+0.193917,+0.128176,+0.009028,+0.137203
5,+0.373465,+2.8070,+1.5000,+0.202945,+1.4719,+0.199275,+0.170520,+0.003670,+0.174190
6,+0.438697,+3.3070,+1.5000,+0.202945,+1.4692,+0.198920,+0.235752,+0.004024,+0.239776
7,+0.503166,+3.8012,+1.5000,+0.202945,+1.4812,+0.200495,+0.300221,+0.002450,+0.302671
8,+0.564202,+4.2690,+1.5000,+0.202945,+1.4810,+0.200460,+0.361258,+0.002485,+0.363742
9,+0.632105,+4.7895,+1.5000,+0.202945,+1.4825,+0.200665,+0.429160,+0.002280,+0.431440
10,+0.677882,+5.1404,+1.5000,+0.202945,+1.4819,+0.200579,+0.474937,+0.002366,+0.477303
11,+0.742352,+5.6345,+1.5000,+0.202945,+1.4817,+0.200559,+0.539407,+0.002385,+0.541792
12,+0.808347,+6.1404,+1.5000,+0.202945,+1.4807,+0.200426,+0.605402,+0.002519,+0.607921
13,+0.871290,+6.6228,+1.5000,+0.202945,+1.4798,+0.200310,+0.668345,+0.002635,+0.670980
14,+0.930037,+7.0731,+1.5000,+0.202945,+1.4780,+0.200078,+0.727093,+0.002867,+0.729960
15,+0.966660,+7.3538,+1.5000,+0.202945,+1.4785,+0.200139,+0.763715,+0.002806,+0.766521
16,+1.019302,+7.7573,+1.5000,+0.202945,+1.4766,+0.199889,+0.816358,+0.003055,+0.819413
17,+1.070802,+8.1521,+1.5000,+0.202945,+1.4742,+0.199579,+0.867857,+0.003366,+0.871223
18,+1.122683,+8.5497,+1.5000,+0.202945,+1.4649,+0.198361,+0.919738,+0.004584,+0.924321
19,+1.176089,+8.9591,+1.5000,+0.202945,+1.4603,+0.197771,+0.973145,+0.005174,+0.978318
20,+1.227207,+9.3509,+1.5000,+0.202945,+1.4532,+0.196841,+1.024262,+0.006103,+1.030366
21,+1.261158,+9.6111,+1.5000,+0.202945,+1.4588,+0.197573,+1.058213,+0.005371,+1.063585
22,+1.313420,+10.0117,+1.5000,+0.202945,+1.4560,+0.197204,+1.110476,+0.005741,+1.116216
23,+1.362249,+10.3860,+1.5000,+0.202945,+1.4536,+0.196898,+1.159305,+0.006047,+1.165352
24,+1.409171,+10.7456,+1.5000,+0.202945,+1.4566,+0.197286,+1.206226,+0.005659,+1.211886
25,+1.453803,+11.0877,+1.5000,+0.202945,+1.4599,+0.197714,+1.250858,+0.005231,+1.256089
26,+1.480888,+11.2953,+1.5000,+0.202945,+1.4568,+0.197308,+1.277944,+0.005637,+1.283580
27,+1.522470,+11.6140,+1.5000,+0.202945,+1.4617,+0.197948,+1.319525,+0.004996,+1.324521
28,+1.560616,+11.9064,+1.5000,+0.202945,+1.4650,+0.198374,+1.357672,+0.004571,+1.362243
29,+1.599527,+12.2047,+1.5000,+0.202945,+1.4624,+0.198040,+1.396583,+0.004905,+1.401487
30,+1.627756,+12.4211,+1.5000,+0.202945,+1.4611,+0.197876,+1.424811,+0.005069,+1.429880
31,+1.652171,+12.6082,+1.5000,+0.202945,+1.4638,+0.198220,+1.449226,+0.004725,+1.453951
