k,gt_raw,gt_norm_unclamped,gt_norm_clamped,gt_round_trip,pred_norm,pred_unnorm,gap_norm,gap_model,total_gap
0,-0.002670,-0.0084,-0.0084,-0.002670,+0.0303,+0.002823,+0.000000,-0.005493,-0.005493
1,+0.004196,+0.0400,+0.0400,+0.004196,+0.0176,+0.001021,-0.000000,+0.003175,+0.003175
2,+0.007248,+0.0615,+0.0615,+0.007248,+0.0226,+0.001739,+0.000000,+0.005509,+0.005509
3,+0.008774,+0.0722,+0.0722,+0.008774,+0.0219,+0.001634,+0.000000,+0.007139,+0.007139
4,+0.012207,+0.0964,+0.0964,+0.012207,+0.0730,+0.008887,+0.000000,+0.003320,+0.003320
5,+0.029373,+0.2174,+0.2174,+0.029373,+0.1193,+0.015455,+0.000000,+0.013918,+0.013918
6,+0.061799,+0.4460,+0.4460,+0.061799,+0.2546,+0.034645,+0.000000,+0.027154,+0.027154
7,+0.095750,+0.6854,+0.6854,+0.095750,+0.4439,+0.061503,+0.000000,+0.034247,+0.034247
8,+0.128176,+0.9139,+0.9139,+0.128176,+0.6689,+0.093416,-0.000000,+0.034760,+0.034760
9,+0.172045,+1.2232,+1.2232,+0.172045,+0.8663,+0.121411,-0.000000,+0.050634,+0.050634
10,+0.205234,+1.4572,+1.4572,+0.205234,+1.1325,+0.159180,-0.000000,+0.046053,+0.046053
11,+0.270847,+1.9197,+1.5000,+0.211310,+1.3350,+0.187911,+0.059537,+0.023400,+0.082937
12,+0.349813,+2.4764,+1.5000,+0.211310,+1.5000,+0.211310,+0.138502,+0.000000,+0.138502
13,+0.439460,+3.1083,+1.5000,+0.211310,+1.4966,+0.210826,+0.228149,+0.000484,+0.228634
14,+0.537498,+3.7994,+1.5000,+0.211310,+1.4885,+0.209680,+0.326188,+0.001630,+0.327818
15,+0.606927,+4.2889,+1.5000,+0.211310,+1.4888,+0.209726,+0.395616,+0.001584,+0.397201
16,+0.717937,+5.0714,+1.5000,+0.211310,+1.4882,+0.209642,+0.506626,+0.001668,+0.508295
17,+0.837720,+5.9158,+1.5000,+0.211310,+1.4842,+0.209070,+0.626409,+0.002240,+0.628650
18,+0.950637,+6.7118,+1.5000,+0.211310,+1.4729,+0.207460,+0.739326,+0.003850,+0.743177
19,+1.036469,+7.3169,+1.5000,+0.211310,+1.4681,+0.206783,+0.825158,+0.004528,+0.829686
20,+1.099412,+7.7606,+1.5000,+0.211310,+1.4674,+0.206688,+0.888102,+0.004622,+0.892724
21,+1.134508,+8.0080,+1.5000,+0.211310,+1.4660,+0.206491,+0.923198,+0.004820,+0.928017
22,+1.177233,+8.3092,+1.5000,+0.211310,+1.4683,+0.206815,+0.965922,+0.004495,+0.970417
23,+1.219195,+8.6050,+1.5000,+0.211310,+1.4697,+0.207006,+1.007885,+0.004304,+1.012189
24,+1.257343,+8.8739,+1.5000,+0.211310,+1.4743,+0.207662,+1.046033,+0.003649,+1.049682
25,+1.284809,+9.0676,+1.5000,+0.211310,+1.4793,+0.208367,+1.073499,+0.002943,+1.076442
26,+1.298923,+9.1671,+1.5000,+0.211310,+1.4805,+0.208541,+1.087613,+0.002769,+1.090382
27,+1.313039,+9.2666,+1.5000,+0.211310,+1.4839,+0.209029,+1.101728,+0.002281,+1.104010
28,+1.318761,+9.3069,+1.5000,+0.211310,+1.4877,+0.209566,+1.107450,+0.001745,+1.109195
29,+1.329823,+9.3849,+1.5000,+0.211310,+1.4931,+0.210327,+1.118513,+0.000984,+1.119497
30,+1.353093,+9.5489,+1.5000,+0.211310,+1.4930,+0.210316,+1.141783,+0.000995,+1.142777
31,+1.370642,+9.6726,+1.5000,+0.211310,+1.4960,+0.210736,+1.159331,+0.000574,+1.159905
